date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2022-08-13,2022,8,13,chokepoint9,Dover Strait,35,22,45,15,52,117,169,705265,929121,140420,40376,1701916,1815184,3517100,22001
2022-08-14,2022,8,14,chokepoint9,Dover Strait,31,20,39,9,56,99,155,570824,629876,124981,24406,1068803,1350089,2418892,22002
2022-08-15,2022,8,15,chokepoint9,Dover Strait,43,39,41,7,52,130,182,1309205,1549611,121986,13809,1164350,2994614,4158964,22003
2022-08-16,2022,8,16,chokepoint9,Dover Strait,27,24,28,15,62,94,156,647217,1295101,62439,38688,1294911,2043446,3338358,22004
2022-08-17,2022,8,17,chokepoint9,Dover Strait,38,20,32,9,55,99,154,1030604,861284,124710,15830,1456520,2032431,3488951,22005
2022-08-18,2022,8,18,chokepoint9,Dover Strait,27,30,31,9,41,97,138,375634,1308484,71832,13501,1014415,1769452,2783867,22006
2022-08-19,2022,8,19,chokepoint9,Dover Strait,40,23,43,13,67,119,186,1481270,833830,121616,27487,1305574,2464205,3769780,22007
2022-08-20,2022,8,20,chokepoint9,Dover Strait,37,27,53,14,57,131,188,1041189,1352223,130535,13564,977827,2537512,3515340,22008
2022-08-21,2022,8,21,chokepoint9,Dover Strait,35,23,39,6,71,103,174,631324,648601,160117,7443,1650524,1447487,3098011,22009
2022-08-22,2022,8,22,chokepoint9,Dover Strait,28,31,39,13,52,111,163,973725,1234590,143764,31669,1254368,2383750,3638119,22010
2022-08-23,2022,8,23,chokepoint9,Dover Strait,30,31,31,15,56,107,163,582957,966670,94889,26108,1018913,1670625,2689539,22011
2022-08-24,2022,8,24,chokepoint9,Dover Strait,37,28,33,9,64,107,171,777685,905850,123954,21156,1098981,1828648,2927629,22012
2022-08-25,2022,8,25,chokepoint9,Dover Strait,31,23,42,10,50,106,156,983701,915845,106240,20665,1013956,2026452,3040408,22013
2022-08-26,2022,8,26,chokepoint9,Dover Strait,32,31,47,14,63,124,187,753638,902266,113552,27245,1314095,1796704,3110800,22014
2022-08-27,2022,8,27,chokepoint9,Dover Strait,41,30,46,16,52,133,185,1016465,1165828,138471,33332,976029,2354096,3330126,22015
2022-08-28,2022,8,28,chokepoint9,Dover Strait,37,27,41,6,45,111,156,619602,901272,127297,20760,1246395,1668933,2915329,22016
2022-08-29,2022,8,29,chokepoint9,Dover Strait,24,25,29,9,53,87,140,782821,1144789,107987,15993,1284050,2051592,3335642,22017
2022-08-30,2022,8,30,chokepoint9,Dover Strait,27,29,48,19,56,123,179,944253,1217364,122336,23746,1668566,2307701,3976267,22018
2022-08-31,2022,8,31,chokepoint9,Dover Strait,26,22,35,14,59,97,156,543362,777209,141395,40385,1316892,1502353,2819245,22019
