date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019-01-01,2019,1,1,chokepoint16,Ombai Strait,2,10,1,0,5,13,18,58124,1326665,5635,0,6235,1390425,1396660,40576
2019-01-02,2019,1,2,chokepoint16,Ombai Strait,1,7,0,0,2,8,10,4316,548503,0,0,143330,552819,696149,40577
2019-01-03,2019,1,3,chokepoint16,Ombai Strait,1,9,4,1,3,15,18,25717,1139559,38371,0,132834,1203648,1336483,40578
2019-01-04,2019,1,4,chokepoint16,Ombai Strait,0,6,1,0,7,7,14,0,892307,3682,0,134512,895990,1030503,40579
2019-01-05,2019,1,5,chokepoint16,Ombai Strait,1,5,1,0,8,7,15,3154,329394,2043,0,214950,334592,549542,40580
2019-01-06,2019,1,6,chokepoint16,Ombai Strait,0,13,1,0,4,14,18,0,554202,3308,0,163632,557510,721143,40581
2019-01-07,2019,1,7,chokepoint16,Ombai Strait,2,7,0,0,5,9,14,52817,761426,0,0,60972,814244,875216,40582
2019-01-08,2019,1,8,chokepoint16,Ombai Strait,0,6,3,0,3,9,12,0,374742,6000,0,0,380742,380742,40583
2019-01-09,2019,1,9,chokepoint16,Ombai Strait,1,6,3,0,2,10,12,32386,635913,12596,0,0,680895,680895,40584
2019-01-10,2019,1,10,chokepoint16,Ombai Strait,1,4,1,0,3,6,9,25034,432775,2065,0,196494,459875,656370,40585
2019-01-11,2019,1,11,chokepoint16,Ombai Strait,1,8,3,0,3,12,15,22533,477341,6991,0,3445,506866,510311,40586
2019-01-12,2019,1,12,chokepoint16,Ombai Strait,0,3,0,0,3,3,6,0,295720,0,0,66344,295720,362064,40587
2019-01-13,2019,1,13,chokepoint16,Ombai Strait,1,2,0,0,6,3,9,7392,0,0,0,82279,7392,89671,40588
2019-01-14,2019,1,14,chokepoint16,Ombai Strait,3,5,0,0,7,8,15,49299,482415,0,0,243026,531715,774741,40589
2019-01-15,2019,1,15,chokepoint16,Ombai Strait,1,4,1,0,3,6,9,23844,235530,2149,0,9310,261524,270834,40590
2019-01-16,2019,1,16,chokepoint16,Ombai Strait,1,7,2,1,0,11,11,4316,1118087,4542,0,0,1126946,1126946,40591
2019-01-17,2019,1,17,chokepoint16,Ombai Strait,1,11,0,0,6,12,18,32386,1035619,0,0,102950,1068005,1170956,40592
2019-01-18,2019,1,18,chokepoint16,Ombai Strait,0,10,2,0,2,12,14,0,851363,4147,0,38504,855510,894014,40593
2019-01-19,2019,1,19,chokepoint16,Ombai Strait,1,4,1,0,5,6,11,42320,337284,688,0,196719,380293,577012,40594
2019-01-20,2019,1,20,chokepoint16,Ombai Strait,1,5,1,0,4,7,11,4316,372046,2065,0,29387,378428,407816,40595
2019-01-21,2019,1,21,chokepoint16,Ombai Strait,1,6,2,0,6,9,15,21636,691330,8378,0,155380,721345,876726,40596
2019-01-22,2019,1,22,chokepoint16,Ombai Strait,1,3,1,0,3,5,8,21780,285972,859,0,85033,308613,393647,40597
2019-01-23,2019,1,23,chokepoint16,Ombai Strait,0,6,2,0,3,8,11,0,677606,3865,0,0,681472,681472,40598
2019-01-24,2019,1,24,chokepoint16,Ombai Strait,3,4,1,0,3,8,11,37670,426845,0,0,65909,464515,530425,40599
2019-01-25,2019,1,25,chokepoint16,Ombai Strait,1,4,0,0,4,5,9,19245,471896,0,0,52988,491142,544130,40600
2019-01-26,2019,1,26,chokepoint16,Ombai Strait,0,5,1,0,6,6,12,0,377234,1571,0,125239,378806,504045,40601
2019-01-27,2019,1,27,chokepoint16,Ombai Strait,1,5,1,0,2,7,9,0,548608,2234,0,0,550842,550842,40602
2019-01-28,2019,1,28,chokepoint16,Ombai Strait,2,11,1,0,3,14,17,58761,960935,1596,0,77398,1021293,1098692,40603
2019-01-29,2019,1,29,chokepoint16,Ombai Strait,1,7,1,0,5,9,14,32386,323784,840,0,99786,357010,456797,40604
2019-01-30,2019,1,30,chokepoint16,Ombai Strait,0,7,1,0,3,8,11,0,75719,4661,0,0,80380,80380,40605
2019-01-31,2019,1,31,chokepoint16,Ombai Strait,0,3,1,0,4,4,8,0,193360,3674,0,0,197035,197035,40606
2019-02-01,2019,2,1,chokepoint16,Ombai Strait,1,7,3,0,8,11,19,23525,517755,7147,0,155042,548428,703471,40607
2019-02-02,2019,2,2,chokepoint16,Ombai Strait,1,5,1,0,3,7,10,64928,364388,1773,0,141081,431090,572171,40608
2019-02-03,2019,2,3,chokepoint16,Ombai Strait,2,6,2,0,4,10,14,42096,158522,30621,0,6959,231239,238199,40609
2019-02-04,2019,2,4,chokepoint16,Ombai Strait,1,7,3,1,5,12,17,31106,775223,5246,4318,43254,815895,859149,40610
2019-02-05,2019,2,5,chokepoint16,Ombai Strait,2,3,1,0,3,6,9,48341,197756,1067,0,9797,247165,256963,40611
2019-02-06,2019,2,6,chokepoint16,Ombai Strait,0,7,1,0,6,8,14,0,522026,799,0,377198,522826,900025,40612
2019-02-07,2019,2,7,chokepoint16,Ombai Strait,0,3,0,1,2,4,6,0,209039,0,7762,68738,216801,285539,40613
2019-02-08,2019,2,8,chokepoint16,Ombai Strait,1,7,1,0,4,9,13,32386,743768,2286,0,140867,778440,919308,40614
2019-02-09,2019,2,9,chokepoint16,Ombai Strait,2,9,1,0,3,12,15,53089,602063,1966,0,12453,657119,669573,40615
2019-02-10,2019,2,10,chokepoint16,Ombai Strait,0,7,3,0,4,10,14,0,794399,1986,0,87911,796385,884297,40616
2019-02-11,2019,2,11,chokepoint16,Ombai Strait,2,5,3,2,5,12,17,48916,412371,12768,3375,142561,477432,619994,40617
2019-02-12,2019,2,12,chokepoint16,Ombai Strait,0,8,0,0,3,8,11,0,1085278,0,0,0,1085278,1085278,40618
2019-02-13,2019,2,13,chokepoint16,Ombai Strait,0,8,1,0,2,9,11,0,1129163,12566,0,46723,1141730,1188454,40619
2019-02-14,2019,2,14,chokepoint16,Ombai Strait,1,7,1,1,1,10,11,21819,961028,0,1537,60972,984385,1045357,40620
2019-02-15,2019,2,15,chokepoint16,Ombai Strait,0,4,0,0,2,4,6,0,200271,0,0,59771,200271,260042,40621
2019-02-16,2019,2,16,chokepoint16,Ombai Strait,1,8,0,0,6,9,15,22314,1291032,0,0,174115,1313346,1487461,40622
2019-02-17,2019,2,17,chokepoint16,Ombai Strait,0,6,2,1,3,9,12,0,613744,20754,1766,81789,636266,718055,40623
2019-02-18,2019,2,18,chokepoint16,Ombai Strait,1,10,1,1,3,13,16,23590,732563,3120,4594,106619,763868,870488,40624
2019-02-19,2019,2,19,chokepoint16,Ombai Strait,1,6,0,0,2,7,9,16614,906662,0,0,0,923277,923277,40625
2019-02-20,2019,2,20,chokepoint16,Ombai Strait,2,8,2,0,4,12,16,36702,797546,6356,0,164427,840605,1005032,40626
2019-02-21,2019,2,21,chokepoint16,Ombai Strait,0,10,1,0,1,11,12,0,925908,727,0,0,926635,926635,40627
2019-02-22,2019,2,22,chokepoint16,Ombai Strait,1,3,0,0,5,4,9,19526,568796,0,0,153071,588322,741394,40628
2019-02-23,2019,2,23,chokepoint16,Ombai Strait,0,4,2,0,2,6,8,0,199893,6028,0,69086,205921,275008,40629
2019-02-24,2019,2,24,chokepoint16,Ombai Strait,0,7,2,0,4,9,13,0,354416,5187,0,0,359604,359604,40630
2019-02-25,2019,2,25,chokepoint16,Ombai Strait,2,2,2,0,2,6,8,27721,28582,2856,0,0,59160,59160,40631
2019-02-26,2019,2,26,chokepoint16,Ombai Strait,0,4,2,0,3,6,9,0,597008,6380,0,110096,603389,713485,40632
2019-02-27,2019,2,27,chokepoint16,Ombai Strait,1,9,2,0,5,12,17,26913,678980,5692,0,123925,711586,835511,40633
2019-02-28,2019,2,28,chokepoint16,Ombai Strait,1,8,3,0,4,12,16,0,455273,17918,0,77212,473192,550405,40634
2019-03-01,2019,3,1,chokepoint16,Ombai Strait,0,6,1,0,1,7,8,0,449842,1648,0,0,451491,451491,40635
2019-03-02,2019,3,2,chokepoint16,Ombai Strait,1,4,2,0,4,7,11,36874,61369,5225,0,76633,103469,180102,40636
2019-03-03,2019,3,3,chokepoint16,Ombai Strait,1,6,1,0,2,8,10,4316,219873,2065,0,59609,226255,285865,40637
2019-03-04,2019,3,4,chokepoint16,Ombai Strait,3,5,0,0,1,8,9,77571,242134,0,0,66877,319706,386584,40638
2019-03-05,2019,3,5,chokepoint16,Ombai Strait,1,3,0,0,4,4,8,21780,362584,0,0,94199,384365,478565,40639
2019-03-06,2019,3,6,chokepoint16,Ombai Strait,2,8,1,0,6,11,17,30858,622686,846,0,129011,654391,783403,40640
2019-03-07,2019,3,7,chokepoint16,Ombai Strait,1,3,2,1,7,7,14,22412,471303,2368,1883,280495,497967,778462,40641
2019-03-08,2019,3,8,chokepoint16,Ombai Strait,0,6,4,0,4,10,14,0,555898,4996,0,67201,560895,628096,40642
2019-03-09,2019,3,9,chokepoint16,Ombai Strait,2,6,1,0,8,9,17,27933,485781,1161,0,375258,514876,890134,40643
2019-03-10,2019,3,10,chokepoint16,Ombai Strait,1,9,0,1,5,11,16,22028,1442627,0,0,171974,1464656,1636630,40644
