date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019-12-12,2019,12,12,chokepoint24,Mona Passage,1,1,1,1,2,4,6,0,28701,0,2638,104957,31340,136298,64001
2019-12-13,2019,12,13,chokepoint24,Mona Passage,2,3,2,0,4,7,11,34716,97929,10294,0,83876,142940,226817,64002
2019-12-14,2019,12,14,chokepoint24,Mona Passage,3,4,0,1,5,8,13,78832,322448,0,3815,361509,405096,766605,64003
2019-12-15,2019,12,15,chokepoint24,Mona Passage,6,1,1,1,1,9,10,89681,32375,7786,0,0,129843,129843,64004
2019-12-16,2019,12,16,chokepoint24,Mona Passage,4,3,1,0,1,8,9,22690,0,0,0,0,22690,22690,64005
2019-12-17,2019,12,17,chokepoint24,Mona Passage,9,2,3,0,0,14,14,127984,82047,32260,0,0,242292,242292,64006
2019-12-18,2019,12,18,chokepoint24,Mona Passage,0,3,1,1,2,5,7,0,200797,8107,0,20642,208904,229547,64007
2019-12-19,2019,12,19,chokepoint24,Mona Passage,2,5,1,0,0,8,8,11391,144391,0,0,0,155783,155783,64008
2019-12-20,2019,12,20,chokepoint24,Mona Passage,2,1,1,0,4,4,8,37292,165428,4530,0,102903,207252,310155,64009
2019-12-21,2019,12,21,chokepoint24,Mona Passage,1,5,2,0,1,8,9,40780,259349,3593,0,19610,303723,323333,64010
2019-12-22,2019,12,22,chokepoint24,Mona Passage,4,0,1,1,0,6,6,62244,0,5256,0,0,67501,67501,64011
2019-12-23,2019,12,23,chokepoint24,Mona Passage,3,3,1,0,2,7,9,75747,110911,5583,0,43994,192242,236236,64012
2019-12-24,2019,12,24,chokepoint24,Mona Passage,6,1,2,1,4,10,14,148088,176709,9620,0,182784,334417,517202,64013
2019-12-25,2019,12,25,chokepoint24,Mona Passage,2,1,1,0,1,4,5,27351,65943,4848,0,18828,98143,116971,64014
2019-12-26,2019,12,26,chokepoint24,Mona Passage,1,2,1,0,3,4,7,12766,109067,6355,0,196012,128189,324202,64015
2019-12-27,2019,12,27,chokepoint24,Mona Passage,1,2,3,1,3,7,10,18539,65175,27783,5858,316529,117357,433887,64016
2019-12-28,2019,12,28,chokepoint24,Mona Passage,3,2,1,0,2,6,8,25308,206767,3879,0,33716,235955,269672,64017
2019-12-29,2019,12,29,chokepoint24,Mona Passage,6,2,1,0,7,9,16,231140,66644,2748,0,199066,300533,499600,64018
2019-12-30,2019,12,30,chokepoint24,Mona Passage,2,2,2,1,2,7,9,19182,83336,4240,13748,81680,120508,202189,64019
2019-12-31,2019,12,31,chokepoint24,Mona Passage,6,1,1,3,2,11,13,132257,2785,21720,3129,31123,159893,191017,64020
2020-01-01,2020,1,1,chokepoint24,Mona Passage,0,3,1,1,2,5,7,0,73418,1280,4141,298091,78840,376932,64021
2020-01-02,2020,1,2,chokepoint24,Mona Passage,2,1,1,0,1,4,5,13088,169181,4259,0,15880,186529,202410,64022
2020-01-03,2020,1,3,chokepoint24,Mona Passage,3,1,2,0,4,6,10,71344,174710,8542,0,45230,254598,299828,64023
2020-01-04,2020,1,4,chokepoint24,Mona Passage,2,2,0,0,1,4,5,90581,64223,0,0,3196,154805,158002,64024
2020-01-05,2020,1,5,chokepoint24,Mona Passage,5,1,0,0,3,6,9,119068,30746,0,0,49093,149815,198908,64025
2020-01-06,2020,1,6,chokepoint24,Mona Passage,3,3,2,0,2,8,10,32581,136963,5452,0,82443,174997,257440,64026
2020-01-07,2020,1,7,chokepoint24,Mona Passage,4,2,1,3,2,10,12,42959,97207,7894,0,0,148062,148062,64027
2020-01-08,2020,1,8,chokepoint24,Mona Passage,4,2,0,0,1,6,7,62902,95694,0,0,42529,158596,201125,64028
2020-01-09,2020,1,9,chokepoint24,Mona Passage,0,1,3,0,3,4,7,0,0,5757,0,3196,5757,8953,64029
2020-01-10,2020,1,10,chokepoint24,Mona Passage,2,1,2,0,2,5,7,28864,0,1296,0,0,30161,30161,64030
2020-01-11,2020,1,11,chokepoint24,Mona Passage,2,5,1,2,0,10,10,6070,127195,0,0,0,133266,133266,64031
2020-01-12,2020,1,12,chokepoint24,Mona Passage,8,2,2,0,4,12,16,248157,107659,16147,0,74088,371964,446052,64032
2020-01-13,2020,1,13,chokepoint24,Mona Passage,3,6,0,0,2,9,11,33030,305383,0,0,40679,338413,379093,64033
2020-01-14,2020,1,14,chokepoint24,Mona Passage,5,2,1,2,1,10,11,79856,177336,485,0,13735,257678,271413,64034
2020-01-15,2020,1,15,chokepoint24,Mona Passage,2,3,1,0,2,6,8,42021,104118,3055,0,300584,149196,449781,64035
2020-01-16,2020,1,16,chokepoint24,Mona Passage,2,3,2,0,4,7,11,42481,84744,5074,0,61598,132299,193898,64036
2020-01-17,2020,1,17,chokepoint24,Mona Passage,2,0,2,0,1,4,5,21679,0,5640,0,0,27320,27320,64037
2020-01-18,2020,1,18,chokepoint24,Mona Passage,0,2,3,0,3,5,8,0,202021,6769,0,38335,208791,247127,64038
2020-01-19,2020,1,19,chokepoint24,Mona Passage,6,1,4,0,1,11,12,139336,23448,20709,0,0,183494,183494,64039
2020-01-20,2020,1,20,chokepoint24,Mona Passage,4,2,0,0,3,6,9,39986,32657,0,0,87351,72643,159995,64040
2020-01-21,2020,1,21,chokepoint24,Mona Passage,3,1,4,1,0,9,9,27146,26317,28949,0,0,82414,82414,64041
2020-01-22,2020,1,22,chokepoint24,Mona Passage,4,2,0,0,3,6,9,132174,204179,0,0,52933,336353,389286,64042
2020-01-23,2020,1,23,chokepoint24,Mona Passage,1,6,0,1,1,8,9,14439,231270,0,0,0,245709,245709,64043
2020-01-24,2020,1,24,chokepoint24,Mona Passage,1,2,1,1,2,5,7,18345,204672,5346,2181,0,230546,230546,64044
2020-01-25,2020,1,25,chokepoint24,Mona Passage,3,2,4,1,2,10,12,65427,63331,27453,2984,1322,159198,160520,64045
2020-01-26,2020,1,26,chokepoint24,Mona Passage,3,2,2,0,1,7,8,132568,32040,8227,0,16751,172837,189588,64046
2020-01-27,2020,1,27,chokepoint24,Mona Passage,3,3,3,0,2,9,11,39994,105640,8974,0,3196,154609,157806,64047
2020-01-28,2020,1,28,chokepoint24,Mona Passage,5,6,1,2,1,14,15,104465,114810,2510,3086,43832,224873,268705,64048
2020-01-29,2020,1,29,chokepoint24,Mona Passage,3,1,2,1,4,7,11,57938,168844,12927,5858,29987,245568,275556,64049
2020-01-30,2020,1,30,chokepoint24,Mona Passage,1,3,0,0,4,4,8,32325,132987,0,0,59820,165313,225134,64050
2020-01-31,2020,1,31,chokepoint24,Mona Passage,2,3,3,0,1,8,9,22896,102955,11584,0,75037,137436,212473,64051
2020-02-01,2020,2,1,chokepoint24,Mona Passage,3,2,0,1,2,6,8,76776,210734,0,0,47855,287510,335366,64052
2020-02-02,2020,2,2,chokepoint24,Mona Passage,7,2,3,1,2,13,15,198194,65150,3332,0,88543,266678,355221,64053
2020-02-03,2020,2,3,chokepoint24,Mona Passage,3,4,1,0,1,8,9,56184,336073,2748,0,38897,395006,433904,64054
2020-02-04,2020,2,4,chokepoint24,Mona Passage,5,1,4,0,3,10,13,126552,166962,3342,0,60027,296857,356884,64055
