date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2020-02-10,2020,2,10,chokepoint28,Kerch Strait,0,3,22,1,21,26,47,0,0,49265,3180,63873,52446,116319,74001
2020-02-11,2020,2,11,chokepoint28,Kerch Strait,0,2,13,0,7,15,22,0,40742,13850,0,14564,54592,69157,74002
2020-02-12,2020,2,12,chokepoint28,Kerch Strait,0,2,28,0,3,30,33,0,3279,42315,0,17584,45595,63180,74003
2020-02-13,2020,2,13,chokepoint28,Kerch Strait,0,2,34,1,22,37,59,0,31805,66488,3180,163671,101474,265145,74004
2020-02-14,2020,2,14,chokepoint28,Kerch Strait,0,1,52,0,17,53,70,0,0,54816,0,76363,54816,131179,74005
2020-02-15,2020,2,15,chokepoint28,Kerch Strait,1,0,39,0,10,40,50,1595,0,66219,0,13667,67815,81482,74006
2020-02-16,2020,2,16,chokepoint28,Kerch Strait,0,1,25,0,9,26,35,0,22552,28139,0,15864,50691,66556,74007
2020-02-17,2020,2,17,chokepoint28,Kerch Strait,0,3,33,0,16,36,52,0,18168,52339,0,58113,70508,128622,74008
2020-02-18,2020,2,18,chokepoint28,Kerch Strait,0,2,42,0,9,44,53,0,0,64601,0,12388,64601,76990,74009
2020-02-19,2020,2,19,chokepoint28,Kerch Strait,0,1,37,1,13,39,52,0,24562,45307,1813,56189,71683,127873,74010
2020-02-20,2020,2,20,chokepoint28,Kerch Strait,1,2,38,0,13,41,54,1331,46911,41312,0,47638,89555,137193,74011
2020-02-21,2020,2,21,chokepoint28,Kerch Strait,0,1,24,1,9,26,35,0,0,34436,2982,37721,37418,75139,74012
2020-02-22,2020,2,22,chokepoint28,Kerch Strait,0,3,32,0,11,35,46,0,9141,46039,0,42803,55180,97983,74013
2020-02-23,2020,2,23,chokepoint28,Kerch Strait,0,1,34,0,12,35,47,0,0,45433,0,27505,45433,72939,74014
2020-02-24,2020,2,24,chokepoint28,Kerch Strait,0,1,7,0,3,8,11,0,0,9391,0,0,9391,9391,74015
2020-02-25,2020,2,25,chokepoint28,Kerch Strait,0,2,21,0,8,23,31,0,28124,30865,0,32236,58989,91225,74016
2020-02-26,2020,2,26,chokepoint28,Kerch Strait,1,3,9,0,7,13,20,1860,0,7486,0,11216,9347,20563,74017
2020-02-27,2020,2,27,chokepoint28,Kerch Strait,0,1,37,0,7,38,45,0,12489,53580,0,15024,66070,81095,74018
2020-02-28,2020,2,28,chokepoint28,Kerch Strait,0,3,43,0,20,46,66,0,33377,57106,0,81875,90483,172358,74019
2020-02-29,2020,2,29,chokepoint28,Kerch Strait,0,2,58,0,17,60,77,0,12865,98861,0,52559,111727,164286,74020
2020-03-01,2020,3,1,chokepoint28,Kerch Strait,0,3,41,1,9,45,54,0,2986,69394,1813,33261,74194,107456,74021
2020-03-02,2020,3,2,chokepoint28,Kerch Strait,0,4,31,0,15,35,50,0,8811,44508,0,20347,53319,73667,74022
2020-03-03,2020,3,3,chokepoint28,Kerch Strait,1,2,19,0,6,22,28,0,0,18833,0,22080,18833,40913,74023
2020-03-04,2020,3,4,chokepoint28,Kerch Strait,1,1,60,2,12,64,76,1331,0,94280,4994,36422,100607,137029,74024
2020-03-05,2020,3,5,chokepoint28,Kerch Strait,0,2,50,0,18,52,70,0,40418,87086,0,68794,127505,196300,74025
2020-03-06,2020,3,6,chokepoint28,Kerch Strait,0,3,33,0,13,36,49,0,12485,50935,0,45143,63421,108564,74026
2020-03-07,2020,3,7,chokepoint28,Kerch Strait,0,1,44,0,11,45,56,0,0,50261,0,40581,50261,90843,74027
2020-03-08,2020,3,8,chokepoint28,Kerch Strait,0,1,44,0,12,45,57,0,31805,52108,0,37378,83914,121292,74028
2020-03-09,2020,3,9,chokepoint28,Kerch Strait,1,4,33,1,10,39,49,1331,19345,44577,1813,50460,67068,117529,74029
2020-03-10,2020,3,10,chokepoint28,Kerch Strait,0,2,23,0,9,25,34,0,18168,28710,0,17703,46878,64582,74030
2020-03-11,2020,3,11,chokepoint28,Kerch Strait,0,2,42,0,12,44,56,0,0,57958,0,131895,57958,189853,74031
2020-03-12,2020,3,12,chokepoint28,Kerch Strait,1,1,45,0,10,47,57,6013,16817,67370,0,26804,90201,117005,74032
2020-03-13,2020,3,13,chokepoint28,Kerch Strait,0,1,43,0,13,44,57,0,0,53292,0,40453,53292,93745,74033
2020-03-14,2020,3,14,chokepoint28,Kerch Strait,0,1,41,0,14,42,56,0,1609,51434,0,28038,53043,81082,74034
2020-03-15,2020,3,15,chokepoint28,Kerch Strait,1,1,30,1,9,33,42,1331,13415,31611,2585,38094,48944,87039,74035
2020-03-16,2020,3,16,chokepoint28,Kerch Strait,0,2,39,0,6,41,47,0,1609,85704,0,13955,87313,101269,74036
2020-03-17,2020,3,17,chokepoint28,Kerch Strait,0,3,29,0,5,32,37,0,33420,61812,0,16873,95233,112106,74037
2020-03-18,2020,3,18,chokepoint28,Kerch Strait,0,0,9,0,6,9,15,0,0,6600,0,19792,6600,26393,74038
2020-03-19,2020,3,19,chokepoint28,Kerch Strait,0,0,45,1,10,46,56,0,0,79718,1813,29858,81532,111391,74039
2020-03-20,2020,3,20,chokepoint28,Kerch Strait,0,3,55,0,17,58,75,0,19378,84952,0,48010,104331,152341,74040
2020-03-21,2020,3,21,chokepoint28,Kerch Strait,0,3,47,0,9,50,59,0,15779,45787,0,129231,61566,190798,74041
2020-03-22,2020,3,22,chokepoint28,Kerch Strait,1,1,51,1,16,54,70,1331,0,58640,1813,20258,61786,82045,74042
2020-03-23,2020,3,23,chokepoint28,Kerch Strait,0,2,23,0,7,25,32,0,4798,26256,0,21185,31054,52240,74043
2020-03-24,2020,3,24,chokepoint28,Kerch Strait,0,0,5,0,1,5,6,0,0,15613,0,0,15613,15613,74044
2020-03-25,2020,3,25,chokepoint28,Kerch Strait,0,0,6,0,1,6,7,0,0,5040,0,0,5040,5040,74045
2020-03-26,2020,3,26,chokepoint28,Kerch Strait,1,0,15,0,3,16,19,34215,0,20791,0,13874,55007,68881,74046
2020-03-27,2020,3,27,chokepoint28,Kerch Strait,0,5,35,0,16,40,56,0,17352,65252,0,54030,82605,136635,74047
2020-03-28,2020,3,28,chokepoint28,Kerch Strait,0,3,47,0,12,50,62,0,16759,56487,0,13525,73246,86772,74048
2020-03-29,2020,3,29,chokepoint28,Kerch Strait,0,2,49,1,15,52,67,0,3189,62126,3180,32082,68496,100579,74049
2020-03-30,2020,3,30,chokepoint28,Kerch Strait,0,3,45,0,19,48,67,0,31582,73896,0,49500,105479,154980,74050
2020-03-31,2020,3,31,chokepoint28,Kerch Strait,0,0,51,1,8,52,60,0,0,67860,1813,24361,69674,94035,74051
2020-04-01,2020,4,1,chokepoint28,Kerch Strait,0,0,35,0,4,35,39,0,0,67465,0,15229,67465,82695,74052
2020-04-02,2020,4,2,chokepoint28,Kerch Strait,1,1,38,0,17,40,57,1331,15779,68186,0,62442,85297,147739,74053
2020-04-03,2020,4,3,chokepoint28,Kerch Strait,0,2,36,1,13,39,52,0,26568,66393,0,46564,92961,139526,74054
2020-04-04,2020,4,4,chokepoint28,Kerch Strait,0,1,42,0,11,43,54,0,24190,67014,0,30965,91205,122171,74055
2020-04-05,2020,4,5,chokepoint28,Kerch Strait,0,4,39,0,7,43,50,0,32924,52049,0,22837,84973,107810,74056
2020-04-06,2020,4,6,chokepoint28,Kerch Strait,0,0,15,0,1,15,16,0,0,11822,0,2668,11822,14491,74057
2020-04-07,2020,4,7,chokepoint28,Kerch Strait,0,2,25,0,7,27,34,0,2922,49311,0,33211,52234,85445,74058
2020-04-08,2020,4,8,chokepoint28,Kerch Strait,0,2,48,1,7,51,58,0,24935,75064,2783,14932,102783,117715,74059
2020-04-09,2020,4,9,chokepoint28,Kerch Strait,0,4,54,1,24,59,83,0,36647,105140,1813,68122,143601,211724,74060
