date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019-12-27,2019,12,27,chokepoint25,Balabac Strait,4,1,0,0,0,5,5,41405,53409,0,0,0,94815,94815,66001
2019-12-28,2019,12,28,chokepoint25,Balabac Strait,3,4,0,0,3,7,10,19387,10886,0,0,0,30273,30273,66002
2019-12-29,2019,12,29,chokepoint25,Balabac Strait,1,6,1,0,5,8,13,0,507277,0,0,66682,507277,573960,66003
2019-12-30,2019,12,30,chokepoint25,Balabac Strait,3,2,1,0,1,6,7,11203,74395,5001,0,6126,90600,96726,66004
2019-12-31,2019,12,31,chokepoint25,Balabac Strait,1,7,4,0,4,12,16,1845,317853,19486,0,36285,339185,375470,66005
2020-01-01,2020,1,1,chokepoint25,Balabac Strait,1,7,1,0,5,9,14,3422,265251,3095,0,6410,271769,278179,66006
2020-01-02,2020,1,2,chokepoint25,Balabac Strait,2,6,2,0,3,10,13,52973,410704,10666,0,21543,474344,495888,66007
2020-01-03,2020,1,3,chokepoint25,Balabac Strait,1,7,3,0,3,11,14,1917,118444,6429,0,0,126791,126791,66008
2020-01-04,2020,1,4,chokepoint25,Balabac Strait,0,8,1,0,2,9,11,0,256260,754,0,4215,257014,261230,66009
2020-01-05,2020,1,5,chokepoint25,Balabac Strait,3,4,0,1,5,8,13,19936,156531,0,0,24834,176467,201302,66010
2020-01-06,2020,1,6,chokepoint25,Balabac Strait,2,5,4,0,2,11,13,3458,155591,24441,0,3429,183491,186921,66011
2020-01-07,2020,1,7,chokepoint25,Balabac Strait,0,5,2,0,7,7,14,0,173804,2747,0,293743,176551,470295,66012
2020-01-08,2020,1,8,chokepoint25,Balabac Strait,1,6,0,0,3,7,10,3455,431480,0,0,19387,434935,454322,66013
2020-01-09,2020,1,9,chokepoint25,Balabac Strait,1,1,2,0,2,4,6,22883,0,3841,0,3025,26725,29750,66014
2020-01-10,2020,1,10,chokepoint25,Balabac Strait,1,4,5,0,3,10,13,12605,165256,14132,0,97118,191995,289113,66015
2020-01-11,2020,1,11,chokepoint25,Balabac Strait,1,3,2,0,4,6,10,5860,66737,3186,0,9979,75783,85763,66016
2020-01-12,2020,1,12,chokepoint25,Balabac Strait,1,6,1,0,0,8,8,5817,160890,703,0,0,167411,167411,66017
2020-01-13,2020,1,13,chokepoint25,Balabac Strait,2,6,1,0,4,9,13,5815,362955,0,0,97428,368770,466199,66018
2020-01-14,2020,1,14,chokepoint25,Balabac Strait,2,4,1,0,5,7,12,11724,78745,3428,0,130320,93898,224219,66019
2020-01-15,2020,1,15,chokepoint25,Balabac Strait,0,3,1,0,7,4,11,0,186252,0,0,67440,186252,253693,66020
2020-01-16,2020,1,16,chokepoint25,Balabac Strait,1,5,1,0,7,7,14,7830,349901,4627,0,50773,362358,413132,66021
2020-01-17,2020,1,17,chokepoint25,Balabac Strait,2,2,5,0,4,9,13,44289,0,11723,0,44905,56013,100919,66022
2020-01-18,2020,1,18,chokepoint25,Balabac Strait,1,6,3,0,7,10,17,2766,138598,4666,0,66599,146031,212630,66023
2020-01-19,2020,1,19,chokepoint25,Balabac Strait,2,2,0,0,4,4,8,4673,32888,0,0,80922,37561,118484,66024
2020-01-20,2020,1,20,chokepoint25,Balabac Strait,3,3,2,0,3,8,11,8286,301602,2942,0,103857,312832,416689,66025
2020-01-21,2020,1,21,chokepoint25,Balabac Strait,1,7,0,0,4,8,12,7830,249549,0,0,303717,257380,561097,66026
2020-01-22,2020,1,22,chokepoint25,Balabac Strait,1,6,1,0,2,8,10,3410,155570,1494,0,9103,160475,169578,66027
2020-01-23,2020,1,23,chokepoint25,Balabac Strait,3,5,1,0,4,9,13,45579,339803,1548,0,28894,386931,415825,66028
2020-01-24,2020,1,24,chokepoint25,Balabac Strait,1,6,2,0,1,9,10,10310,480780,6031,0,3398,497122,500520,66029
2020-01-25,2020,1,25,chokepoint25,Balabac Strait,1,4,6,0,3,11,14,6838,133267,14962,0,24824,155067,179891,66030
2020-01-26,2020,1,26,chokepoint25,Balabac Strait,2,5,1,0,3,8,11,6950,71420,1381,0,5219,79752,84971,66031
2020-01-27,2020,1,27,chokepoint25,Balabac Strait,2,5,0,0,3,7,10,13212,298953,0,0,56166,312166,368332,66032
2020-01-28,2020,1,28,chokepoint25,Balabac Strait,0,4,1,0,4,5,9,0,227443,882,0,22858,228326,251185,66033
2020-01-29,2020,1,29,chokepoint25,Balabac Strait,0,6,1,0,3,7,10,0,309188,2186,0,19541,311374,330915,66034
2020-01-30,2020,1,30,chokepoint25,Balabac Strait,0,2,0,0,1,2,3,0,0,0,0,27420,0,27420,66035
2020-01-31,2020,1,31,chokepoint25,Balabac Strait,1,4,4,0,3,9,12,11710,163581,26689,0,65422,201981,267403,66036
2020-02-01,2020,2,1,chokepoint25,Balabac Strait,2,5,2,0,5,9,14,3220,232348,3693,0,16642,239262,255904,66037
2020-02-02,2020,2,2,chokepoint25,Balabac Strait,0,9,1,0,4,10,14,0,351425,9903,0,16008,361328,377336,66038
2020-02-03,2020,2,3,chokepoint25,Balabac Strait,3,7,3,0,2,13,15,18463,476928,5911,0,91902,501303,593206,66039
2020-02-04,2020,2,4,chokepoint25,Balabac Strait,0,2,1,1,7,4,11,0,227345,10346,3447,19987,241139,261126,66040
2020-02-05,2020,2,5,chokepoint25,Balabac Strait,1,5,2,0,3,8,11,7830,193886,8503,0,48379,210220,258599,66041
2020-02-06,2020,2,6,chokepoint25,Balabac Strait,0,4,0,0,5,4,9,0,55896,0,0,27999,55896,83895,66042
2020-02-07,2020,2,7,chokepoint25,Balabac Strait,3,2,1,0,4,6,10,30754,0,3328,0,29024,34083,63107,66043
2020-02-08,2020,2,8,chokepoint25,Balabac Strait,0,10,1,0,1,11,12,0,274948,20783,0,41544,295731,337276,66044
2020-02-09,2020,2,9,chokepoint25,Balabac Strait,2,5,0,0,4,7,11,10488,262624,0,0,35213,273112,308326,66045
2020-02-10,2020,2,10,chokepoint25,Balabac Strait,3,6,0,0,5,9,14,19781,319569,0,0,61744,339351,401095,66046
2020-02-11,2020,2,11,chokepoint25,Balabac Strait,0,6,1,0,7,7,14,0,211841,2583,0,17765,214424,232190,66047
2020-02-12,2020,2,12,chokepoint25,Balabac Strait,3,7,0,0,4,10,14,14267,103703,0,0,20389,117970,138360,66048
2020-02-13,2020,2,13,chokepoint25,Balabac Strait,1,7,3,0,4,11,15,37388,146142,2068,0,17384,185599,202983,66049
2020-02-14,2020,2,14,chokepoint25,Balabac Strait,0,4,0,0,3,4,7,0,290462,0,0,0,290462,290462,66050
2020-02-15,2020,2,15,chokepoint25,Balabac Strait,2,9,0,0,3,11,14,4999,400441,0,0,44556,405441,449997,66051
2020-02-16,2020,2,16,chokepoint25,Balabac Strait,2,5,4,0,4,11,15,2377,181654,6726,0,19275,190758,210034,66052
2020-02-17,2020,2,17,chokepoint25,Balabac Strait,1,3,1,0,3,5,8,10057,86322,1814,0,19312,98193,117506,66053
2020-02-18,2020,2,18,chokepoint25,Balabac Strait,2,6,0,0,8,8,16,6442,204630,0,0,137535,211072,348607,66054
2020-02-19,2020,2,19,chokepoint25,Balabac Strait,1,1,1,0,3,3,6,7830,0,6895,0,5574,14725,20300,66055
2020-02-20,2020,2,20,chokepoint25,Balabac Strait,2,7,1,0,5,10,15,1917,234660,1180,0,11188,237758,248946,66056
