date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2023-05-20,2023,5,20,chokepoint1,Suez Canal,21,26,7,4,25,58,83,1148714,1546236,34634,10421,1503404,2740007,4243411,1
2023-05-21,2023,5,21,chokepoint1,Suez Canal,21,22,4,1,20,48,68,1053113,1593665,7970,4258,846416,2659007,3505423,2
2023-05-22,2023,5,22,chokepoint1,Suez Canal,20,14,5,3,25,42,67,1237461,715973,20024,16595,913704,1990055,2903760,3
2023-05-23,2023,5,23,chokepoint1,Suez Canal,12,28,7,4,44,51,95,374869,1311755,19619,16527,1840999,1722772,3563771,4
2023-05-24,2023,5,24,chokepoint1,Suez Canal,23,15,5,2,28,45,73,1046298,775449,15971,3812,1533529,1841531,3375060,5
2023-05-25,2023,5,25,chokepoint1,Suez Canal,23,12,3,1,10,39,49,1256223,895913,8370,4096,586553,2164605,2751158,6
2023-05-26,2023,5,26,chokepoint1,Suez Canal,19,25,6,6,32,56,88,976771,1298490,21026,34002,1519852,2330290,3850143,7
2023-05-27,2023,5,27,chokepoint1,Suez Canal,18,24,8,3,17,53,70,1380247,1403189,30488,14973,899239,2828899,3728139,8
2023-05-28,2023,5,28,chokepoint1,Suez Canal,30,27,5,3,24,65,89,1929421,1124771,18787,19042,1228813,3092022,4320836,9
2023-05-29,2023,5,29,chokepoint1,Suez Canal,18,19,3,3,26,43,69,749688,1264811,5537,10395,1583395,2030433,3613828,10
2023-05-30,2023,5,30,chokepoint1,Suez Canal,21,26,9,1,32,57,89,963487,1410526,60063,7212,1478426,2441291,3919717,11
2023-05-31,2023,5,31,chokepoint1,Suez Canal,20,20,6,3,21,49,70,920706,847685,20575,15624,1303793,1804591,3108385,12
2023-06-01,2023,6,1,chokepoint1,Suez Canal,18,24,2,2,18,46,64,958924,1120978,1442,13214,1121269,2094560,3215829,13
2023-06-02,2023,6,2,chokepoint1,Suez Canal,26,30,3,4,26,63,89,1449042,1251020,32215,19087,1021561,2751365,3772926,14
2023-06-03,2023,6,3,chokepoint1,Suez Canal,17,18,6,1,22,42,64,1112889,795219,22022,9612,1313729,1939744,3253474,15
2023-06-04,2023,6,4,chokepoint1,Suez Canal,15,11,2,3,31,31,62,825878,452428,1452,16703,1352354,1296462,2648817,16
2023-06-05,2023,6,5,chokepoint1,Suez Canal,21,19,9,2,21,51,72,1161352,812257,28279,16373,1291558,2018263,3309822,17
2023-06-06,2023,6,6,chokepoint1,Suez Canal,21,24,4,3,21,52,73,909113,1200655,21761,19501,1138966,2151031,3289998,18
2023-06-07,2023,6,7,chokepoint1,Suez Canal,28,23,4,7,27,62,89,1113125,1104509,22608,43119,1237484,2283363,3520847,19
2023-06-08,2023,6,8,chokepoint1,Suez Canal,22,19,11,0,32,52,84,1131098,909679,34209,0,1321546,2074987,3396533,20
2023-06-09,2023,6,9,chokepoint1,Suez Canal,17,18,4,6,29,45,74,1085177,1203306,35571,25781,1986029,2349836,4335866,21
2023-06-10,2023,6,10,chokepoint1,Suez Canal,18,14,5,3,40,40,80,970122,977499,16366,6560,1962109,1970548,3932658,22
2023-06-11,2023,6,11,chokepoint1,Suez Canal,29,11,3,1,30,44,74,1116343,513581,14687,4958,1477594,1649571,3127165,23
2023-06-12,2023,6,12,chokepoint1,Suez Canal,19,28,10,0,19,57,76,857369,1825167,51027,0,992050,2733564,3725614,24
2023-06-13,2023,6,13,chokepoint1,Suez Canal,15,16,7,2,30,40,70,1066327,994090,50283,8976,1012479,2119678,3132157,25
2023-06-14,2023,6,14,chokepoint1,Suez Canal,15,24,3,3,32,45,77,785088,1017391,21602,14904,1414338,1838986,3253325,26
2023-06-15,2023,6,15,chokepoint1,Suez Canal,16,16,5,5,25,42,67,768992,1126017,25510,24080,1481619,1944600,3426220,27
2023-06-16,2023,6,16,chokepoint1,Suez Canal,23,18,5,4,26,50,76,1567705,1121516,43545,10247,1331980,2743014,4074995,28
2023-06-17,2023,6,17,chokepoint1,Suez Canal,23,14,1,3,25,41,66,1592917,675587,9086,7515,1363510,2285108,3648618,29
2023-06-18,2023,6,18,chokepoint1,Suez Canal,13,25,9,9,28,56,84,761360,1409767,40781,34154,1494713,2246063,3740776,30
2023-06-19,2023,6,19,chokepoint1,Suez Canal,23,16,5,1,24,45,69,837182,947176,22453,3910,1309889,1810723,3120613,31
2023-06-20,2023,6,20,chokepoint1,Suez Canal,20,13,1,2,20,36,56,1335272,892505,3259,11033,1085026,2242072,3327098,32
2023-06-21,2023,6,21,chokepoint1,Suez Canal,20,12,5,7,29,44,73,1020395,696150,17430,24680,1656772,1758657,3415430,33
2023-06-22,2023,6,22,chokepoint1,Suez Canal,23,30,5,7,34,65,99,1214953,1400427,14189,31472,1297141,2661042,3958184,34
2023-06-23,2023,6,23,chokepoint1,Suez Canal,22,17,2,2,29,43,72,1267299,751683,3136,14913,1533480,2037032,3570512,35
2023-06-24,2023,6,24,chokepoint1,Suez Canal,26,28,11,5,26,70,96,1444483,1361439,50360,23139,762765,2879423,3642189,36
2023-06-25,2023,6,25,chokepoint1,Suez Canal,21,33,8,5,22,67,89,1154600,1733377,51170,25917,1614279,2965065,4579345,37
2023-06-26,2023,6,26,chokepoint1,Suez Canal,20,16,6,2,16,44,60,720198,782785,31594,13415,722780,1547994,2270775,38
2023-06-27,2023,6,27,chokepoint1,Suez Canal,19,18,9,1,32,47,79,1235812,968885,29370,3453,1410166,2237522,3647688,39
2023-06-28,2023,6,28,chokepoint1,Suez Canal,10,28,11,6,30,55,85,712405,1626586,61152,24658,1226612,2424803,3651415,40
2023-06-29,2023,6,29,chokepoint1,Suez Canal,18,12,0,0,21,30,51,796980,689547,0,0,1340881,1486527,2827408,41
2023-06-30,2023,6,30,chokepoint1,Suez Canal,18,27,8,2,29,55,84,1018222,999639,28570,3743,1346373,2050175,3396548,42
2023-07-01,2023,7,1,chokepoint1,Suez Canal,26,15,4,1,26,46,72,1731254,759567,13918,3202,1171572,2507942,3679515,43
2023-07-02,2023,7,2,chokepoint1,Suez Canal,24,13,9,7,27,53,80,1429898,774805,36996,26016,1281167,2267716,3548884,44
2023-07-03,2023,7,3,chokepoint1,Suez Canal,16,18,5,0,26,39,65,960602,1291002,10177,0,1461583,2261781,3723365,45
2023-07-04,2023,7,4,chokepoint1,Suez Canal,20,14,4,0,23,38,61,675289,885699,25379,0,973656,1586368,2560024,46
2023-07-05,2023,7,5,chokepoint1,Suez Canal,23,15,9,8,28,55,83,1200634,584947,58437,51537,906163,1895556,2801719,47
2023-07-06,2023,7,6,chokepoint1,Suez Canal,12,20,5,2,25,39,64,649744,1161557,22811,10817,1495568,1844931,3340500,48
2023-07-07,2023,7,7,chokepoint1,Suez Canal,24,10,5,2,28,41,69,1207946,443183,6552,5319,1148234,1663002,2811236,49
2023-07-08,2023,7,8,chokepoint1,Suez Canal,27,16,6,3,27,52,79,1422695,820074,38907,3302,1145234,2284979,3430213,50
2023-07-09,2023,7,9,chokepoint1,Suez Canal,27,17,5,1,20,50,70,1423753,890691,16126,4851,476735,2335424,2812159,51
2023-07-10,2023,7,10,chokepoint1,Suez Canal,24,30,6,6,22,66,88,1316205,1806929,32221,35914,818447,3191271,4009718,52
2023-07-11,2023,7,11,chokepoint1,Suez Canal,19,8,10,0,19,37,56,987083,611187,35450,0,1236217,1633721,2869939,53
2023-07-12,2023,7,12,chokepoint1,Suez Canal,17,9,4,2,22,32,54,759919,387695,6594,4434,1636996,1158644,2795640,54
2023-07-13,2023,7,13,chokepoint1,Suez Canal,14,21,7,5,27,47,74,903036,1089932,50563,12686,991327,2056217,3047545,55
2023-07-14,2023,7,14,chokepoint1,Suez Canal,20,17,8,3,36,48,84,874730,746773,42858,12602,1646250,1676965,3323216,56
2023-07-15,2023,7,15,chokepoint1,Suez Canal,28,15,8,4,26,55,81,1903253,629441,44512,26584,1629355,2603791,4233146,57
2023-07-16,2023,7,16,chokepoint1,Suez Canal,21,14,3,4,31,42,73,989889,944545,3639,15132,751350,1953207,2704558,58
2023-07-17,2023,7,17,chokepoint1,Suez Canal,21,4,1,0,29,26,55,1191418,286150,11314,0,1793220,1488884,3282105,59
2023-07-18,2023,7,18,chokepoint1,Suez Canal,22,20,4,2,35,48,83,1209828,1259022,5449,3193,1622489,2477494,4099984,60
2023-07-19,2023,7,19,chokepoint1,Suez Canal,24,16,8,0,29,48,77,1164968,735608,39269,0,1390545,1939846,3330391,61
2023-07-20,2023,7,20,chokepoint1,Suez Canal,17,26,2,2,31,47,78,964817,1215904,8767,8581,1543643,2198071,3741715,62
2023-07-21,2023,7,21,chokepoint1,Suez Canal,23,19,4,1,25,47,72,860781,772383,8234,3437,1055518,1644836,2700354,63
2023-07-22,2023,7,22,chokepoint1,Suez Canal,20,15,6,3,30,44,74,1282923,659349,34745,12854,1091440,1989872,3081313,64
