date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019-08-29,2019,8,29,chokepoint17,Bohai Strait,20,90,11,4,28,125,153,243637,3524987,41819,4604,468458,3815048,4283507,44001
2019-08-30,2019,8,30,chokepoint17,Bohai Strait,25,75,14,6,37,120,157,564598,3611684,67034,21592,598053,4264909,4862963,44002
2019-08-31,2019,8,31,chokepoint17,Bohai Strait,24,97,23,3,41,147,188,394549,4657897,57893,1030,641520,5111372,5752892,44003
2019-09-01,2019,9,1,chokepoint17,Bohai Strait,28,100,26,7,38,161,199,629205,4500013,140006,9398,423755,5278623,5702379,44004
2019-09-02,2019,9,2,chokepoint17,Bohai Strait,22,103,23,2,35,150,185,449554,3677100,99373,1902,593313,4227930,4821244,44005
2019-09-03,2019,9,3,chokepoint17,Bohai Strait,26,116,25,2,36,169,205,417405,4574127,96532,6492,727558,5094557,5822115,44006
2019-09-04,2019,9,4,chokepoint17,Bohai Strait,17,66,9,4,27,96,123,336100,2707773,49063,4919,633915,3097857,3731773,44007
2019-09-05,2019,9,5,chokepoint17,Bohai Strait,24,82,15,3,31,124,155,432182,2952637,72164,8256,1261191,3465240,4726432,44008
2019-09-06,2019,9,6,chokepoint17,Bohai Strait,26,75,15,7,33,123,156,441363,3386295,25687,4934,299982,3858281,4158263,44009
2019-09-07,2019,9,7,chokepoint17,Bohai Strait,23,95,19,4,31,141,172,552723,3858175,108745,8395,490226,4528039,5018266,44010
2019-09-08,2019,9,8,chokepoint17,Bohai Strait,31,70,12,4,28,117,145,696069,1896489,33209,5808,612973,2631577,3244550,44011
2019-09-09,2019,9,9,chokepoint17,Bohai Strait,25,148,27,2,53,202,255,468058,6872946,140061,10591,864061,7491658,8355719,44012
2019-09-10,2019,9,10,chokepoint17,Bohai Strait,29,74,9,3,22,115,137,508876,4162091,54989,5794,343569,4731752,5075322,44013
2019-09-11,2019,9,11,chokepoint17,Bohai Strait,22,96,15,5,31,138,169,521311,4733799,52126,11035,834061,5318273,6152335,44014
2019-09-12,2019,9,12,chokepoint17,Bohai Strait,23,102,29,4,47,158,205,471200,4294579,84327,2933,794944,4853040,5647985,44015
2019-09-13,2019,9,13,chokepoint17,Bohai Strait,19,70,11,4,26,104,130,348842,3383771,84437,8697,333127,3825748,4158876,44016
2019-09-14,2019,9,14,chokepoint17,Bohai Strait,24,108,24,3,38,159,197,365739,4586195,94384,1902,1221628,5048221,6269849,44017
2019-09-15,2019,9,15,chokepoint17,Bohai Strait,28,95,25,3,44,151,195,750411,3812897,78038,4229,564365,4645577,5209943,44018
2019-09-16,2019,9,16,chokepoint17,Bohai Strait,23,76,27,0,41,126,167,371091,2680370,113877,0,318852,3165338,3484190,44019
2019-09-17,2019,9,17,chokepoint17,Bohai Strait,15,95,11,5,42,126,168,335802,3224885,63652,9895,770388,3634236,4404624,44020
2019-09-18,2019,9,18,chokepoint17,Bohai Strait,22,62,16,3,18,103,121,496515,2104232,86334,1857,161749,2688939,2850688,44021
2019-09-19,2019,9,19,chokepoint17,Bohai Strait,29,87,15,4,36,135,171,429807,2920726,52368,1902,385538,3404804,3790343,44022
2019-09-20,2019,9,20,chokepoint17,Bohai Strait,30,105,24,3,51,162,213,484841,4382800,70960,6855,976395,4945458,5921853,44023
2019-09-21,2019,9,21,chokepoint17,Bohai Strait,27,104,14,2,35,147,182,487996,4754265,68146,1030,375499,5311439,5686938,44024
2019-09-22,2019,9,22,chokepoint17,Bohai Strait,21,48,9,2,20,80,100,462806,1673153,23810,0,312670,2159770,2472440,44025
2019-09-23,2019,9,23,chokepoint17,Bohai Strait,16,70,15,3,34,104,138,358175,2750939,54895,7230,200655,3171240,3371895,44026
2019-09-24,2019,9,24,chokepoint17,Bohai Strait,31,125,28,5,36,189,225,584161,4701025,97572,11336,833553,5394095,6227648,44027
2019-09-25,2019,9,25,chokepoint17,Bohai Strait,22,125,17,1,49,165,214,389568,6426198,68478,0,418892,6884245,7303137,44028
