date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019-06-30,2019,6,30,chokepoint13,Tsugaru Strait,16,16,5,0,12,37,49,550036,331007,49201,0,306403,930245,1236649,32801
2019-01-01,2019,1,1,chokepoint13,Tsugaru Strait,5,6,4,2,9,17,26,136803,126632,12126,13617,65518,289179,354698,33023
2019-01-02,2019,1,2,chokepoint13,Tsugaru Strait,2,12,2,1,16,17,33,150181,259429,11439,2705,94862,423755,518618,33024
2019-01-03,2019,1,3,chokepoint13,Tsugaru Strait,3,15,0,0,11,18,29,144069,409483,0,0,32437,553553,585990,33025
2019-01-04,2019,1,4,chokepoint13,Tsugaru Strait,15,12,4,3,9,34,43,377081,284469,6094,7614,164984,675259,840244,33026
2019-01-05,2019,1,5,chokepoint13,Tsugaru Strait,18,10,3,5,12,36,48,576802,373732,15555,9578,21984,975669,997653,33027
2019-01-06,2019,1,6,chokepoint13,Tsugaru Strait,13,15,2,0,19,30,49,459593,559409,1702,0,82531,1020705,1103237,33028
2019-01-07,2019,1,7,chokepoint13,Tsugaru Strait,10,26,9,0,14,45,59,249030,1132650,39232,0,130602,1420913,1551516,33029
2019-01-08,2019,1,8,chokepoint13,Tsugaru Strait,5,16,5,2,8,28,36,223584,627787,21098,3287,23776,875758,899534,33030
2019-01-09,2019,1,9,chokepoint13,Tsugaru Strait,9,9,2,0,3,20,23,435167,487696,2222,0,34980,925085,960066,33031
2019-01-10,2019,1,10,chokepoint13,Tsugaru Strait,3,10,2,0,14,15,29,43150,217791,0,0,51758,260942,312700,33032
2019-01-11,2019,1,11,chokepoint13,Tsugaru Strait,16,13,17,1,19,47,66,546205,211556,50220,1154,44282,809136,853418,33033
2019-01-12,2019,1,12,chokepoint13,Tsugaru Strait,17,17,11,1,21,46,67,483983,383970,33271,4636,460307,905861,1366169,33034
2019-01-13,2019,1,13,chokepoint13,Tsugaru Strait,17,20,9,5,13,51,64,466478,419807,14387,16809,137821,917483,1055304,33035
2019-01-14,2019,1,14,chokepoint13,Tsugaru Strait,11,28,5,0,8,44,52,336043,1099907,11908,0,92632,1447859,1540492,33036
