week_end_date,route_code,index_name,value,unit,notes
2026-05-29,,BCI,5503,index,closing value final week of May
2026-05-29,,C5TC,46000,USD/day,"stated as $46k/day; +170% YoY"
2026-05-29,C3,C3 (Tubarao-Qingdao),38,USD/MT,+57% QoQ; +90% YoY
2026-05-29,C5,C5 (West Australia-Qingdao),16.4,USD/MT,+56% QoQ; +97% YoY
2026-05-29,,Capesize tonne-miles iron ore all-to-India,420,%,"May average; approx 3.5 billion tonne-miles; record ~450% / ~4.2 bn tm in early 2026"
2026-05-29,,India-bound dry bulk imports Q1 2026,5000000,tonnes,highest quarterly volume in 3-year period; Brazil 1.8 Mt (~36%); Oman 735kt (~15%); Australia 164kt (~3%); +127.3% YoY vs Q1 2025 2.2 Mt; +38.9% QoQ vs Q4 2025 3.6 Mt
